Tienda,CR Tienda,Plaza.,CR Plaza,CERVEZA
El Jarron BJX,50JWR,10GTO Irapuato,10GTO,2
Jardin Constitucion BJX,50K12,10GTO Irapuato,10GTO,2
Villa Petrolera BJX,50KB1,10GTO Irapuato,10GTO,2
Campanero BJX,50KNP,10GTO Irapuato,10GTO,2
La Caldera BJX,50KP2,10GTO Irapuato,10GTO,2
Valle Centro BJX,50KRX,10GTO Irapuato,10GTO,2
Libramiento Norte la Piedad BJX,50KW7,10GTO Irapuato,10GTO,2
Crit BJX,50L77,10GTO Irapuato,10GTO,2
Solidaridad BJX,50LDD,10GTO Irapuato,10GTO,2
Jazmin Oxxo Gas,50LE4,10GTO Irapuato,10GTO,2
Irapuato Centro BJX,50LJ6,10GTO Irapuato,10GTO,2
La Marina BJX,50LJV,10GTO Irapuato,10GTO,2
Gas Yurecuaro,50LN5,10GTO Irapuato,10GTO,2
Villas Cuchicuato BJX,50M2H,10GTO Irapuato,10GTO,2
Siglo XXI BJX,50M3J,10GTO Irapuato,10GTO,2
Guerrero  BJX,50MJR,10GTO Irapuato,10GTO,2
Granados BJX,50MLE,10GTO Irapuato,10GTO,2
Morelos BJX,50MWW,10GTO Irapuato,10GTO,2
Comunicaciones Norte BJX,50N07,10GTO Irapuato,10GTO,2
Banquetes BJX,50N6O,10GTO Irapuato,10GTO,2
Panamericana  BJX,50NH4,10GTO Irapuato,10GTO,2
Numaran BJX,50NUH,10GTO Irapuato,10GTO,2
Turquesa BJX,50O11,10GTO Irapuato,10GTO,2
La Ordeña BJX,50OWD,10GTO Irapuato,10GTO,2
Agroriego BJX,50P5R,10GTO Irapuato,10GTO,2
Artega BJX,50PSV,10GTO Irapuato,10GTO,2
La Presa BJX,50PSY,10GTO Irapuato,10GTO,2
Rinconada los Fresnos BJX,50Q6I,10GTO Irapuato,10GTO,2
Mariano Jimenez BJX,50QCW,10GTO Irapuato,10GTO,2
Zaragoza BJX,50QCY,10GTO Irapuato,10GTO,2
Federales BJX,50QDJ,10GTO Irapuato,10GTO,2
De Las Fuentes BJX,50QDN,10GTO Irapuato,10GTO,2
Hurapo BJX,50QDU,10GTO Irapuato,10GTO,2
Pirul  BJX,50QVS,10GTO Irapuato,10GTO,2
Pasaje Colon BJX,50QY6,10GTO Irapuato,10GTO,2
Valle del Sol BJX,50R1W,10GTO Irapuato,10GTO,2
Gas La Piedad  Penjamo BJX,50R20,10GTO Irapuato,10GTO,2
Marmol BJX,50RMO,10GTO Irapuato,10GTO,2
Santos Degollado BJX,50RRR,10GTO Irapuato,10GTO,2
Royal BJX,50RYW,10GTO Irapuato,10GTO,2
La Loma BJX,50RZ7,10GTO Irapuato,10GTO,2
Torres Landa  BJX,50SH4,10GTO Irapuato,10GTO,2
Echegaray BJX,50SLP,10GTO Irapuato,10GTO,2
Cipreses BJX,50SYJ,10GTO Irapuato,10GTO,2
Pedro Moreno BJX,50TFP,10GTO Irapuato,10GTO,2
Laguna Larga BJX,50TPB,10GTO Irapuato,10GTO,2
Purepero BJX,50TSI,10GTO Irapuato,10GTO,2
Ford BJX,50TSR,10GTO Irapuato,10GTO,2
Celaya BJX,50UFB,10GTO Irapuato,10GTO,2
Salmantina BJX,50UKL,10GTO Irapuato,10GTO,2
San Antonio BJX,50ULA,10GTO Irapuato,10GTO,2
Agora BJX,50UZM,10GTO Irapuato,10GTO,2
Bellavista BJX,50VBI,10GTO Irapuato,10GTO,2
Santa Cecilia BJX,50VBR,10GTO Irapuato,10GTO,2
Revolucion BJX,50VQU,10GTO Irapuato,10GTO,2
San Miguel BJX,50VWV,10GTO Irapuato,10GTO,2
Casimiro Liceaga BJX,50WBJ,10GTO Irapuato,10GTO,2
Humanista BJX,50WFM,10GTO Irapuato,10GTO,2
Gpe Victoria BJX,50WFY,10GTO Irapuato,10GTO,2
El Cerrito BJX,50X0L,10GTO Irapuato,10GTO,2
El Encanto BJX,50XA4,10GTO Irapuato,10GTO,2
Granito BJX,50XJP,10GTO Irapuato,10GTO,2
Clinica 57 BJX,50XL5,10GTO Irapuato,10GTO,2
Murano BJX,50XOY,10GTO Irapuato,10GTO,2
PEMEX BJX,50XUF,10GTO Irapuato,10GTO,2
Gral Enrique Ramirez BJX,50Y34,10GTO Irapuato,10GTO,2
Gas Tanhuato BJX,50Y6T,10GTO Irapuato,10GTO,2
Arroyo la Noria BJX,50Y8G,10GTO Irapuato,10GTO,2
Hospital Pemex BJX,50Y8O,10GTO Irapuato,10GTO,2
Yerbabuena BJX,50YBB,10GTO Irapuato,10GTO,2
Las Teresitas BJX,50YC8,10GTO Irapuato,10GTO,2
Michoacan BJX,50YFU,10GTO Irapuato,10GTO,2
BOS BJX,50YG1,10GTO Irapuato,10GTO,2
Cabadas BJX,50YKO,10GTO Irapuato,10GTO,2
Los Reyes BJX,50YYP,10GTO Irapuato,10GTO,2
Palma de Mayorca BJX,50Z43,10GTO Irapuato,10GTO,2
Pueblo Nuevo BJX,50ZFZ,10GTO Irapuato,10GTO,2
Gamez BJX,50ZID,10GTO Irapuato,10GTO,2
Pueblito de RochaBJX,50ZOD,10GTO Irapuato,10GTO,2
Arbol Grande BJX,50ZOI,10GTO Irapuato,10GTO,2
Avellano II BJX,50ZQD,10GTO Irapuato,10GTO,2
Carrizales BJX,50ZRK,10GTO Irapuato,10GTO,2
Alamo del Valle BJX,5009V,10GTO Leon Norte,10GTO,2
San Felipe de Jesus BJX,5015A,10GTO Leon Norte,10GTO,2
Baena BJX,501Y9,10GTO Leon Norte,10GTO,2
GPI BJX,503I8,10GTO Leon Norte,10GTO,2
Albazul BJX,503K3,10GTO Leon Norte,10GTO,2
Gas Carr 45,504GV,10GTO Leon Norte,10GTO,2
Bosque Castano BJX,504OT,10GTO Leon Norte,10GTO,2
Natura BJX,505U4,10GTO Leon Norte,10GTO,2
G100 BJX,5067G,10GTO Leon Norte,10GTO,2
Mayorazgo del Carmen BJX,5067T,10GTO Leon Norte,10GTO,2
Carretera Guanajuato BJX,506CH,10GTO Leon Norte,10GTO,2
Glorieta Cañaveral BJX,507CG,10GTO Leon Norte,10GTO,2
Interpuerto BJX,508R0,10GTO Leon Norte,10GTO,2
Glorieta Carranza BJX,508RK,10GTO Leon Norte,10GTO,2
Araucaria BJX,508SS,10GTO Leon Norte,10GTO,2
Hacienda Mandarinas BJX,509L2,10GTO Leon Norte,10GTO,2
Cementos BJX,509XK,10GTO Leon Norte,10GTO,2
Alamos BJX,509Y4,10GTO Leon Norte,10GTO,2
Carmena BJX,50A1Q,10GTO Leon Norte,10GTO,2
Heroes BJX,50A8A,10GTO Leon Norte,10GTO,2
Punto Verde BJX,50ADQ,10GTO Leon Norte,10GTO,2
Plan de Ayala BJX,50AOS,10GTO Leon Norte,10GTO,2
Tepeyac BJX,50AOT,10GTO Leon Norte,10GTO,2
Colinas del Carmen BJX,50AR7,10GTO Leon Norte,10GTO,2
Ramales BJX,50B7J,10GTO Leon Norte,10GTO,2
Zapateros BJX,50CL1,10GTO Leon Norte,10GTO,2
Comanjilla II BJX,50CMJ,10GTO Leon Norte,10GTO,2
La Conquista BJX,50CMU,10GTO Leon Norte,10GTO,2
Manuel Doblado BJX,50DWF,10GTO Leon Norte,10GTO,2
Lecuona BJX,50EUO,10GTO Leon Norte,10GTO,2
Romita BJX,50EZY,10GTO Leon Norte,10GTO,2
Industrial Delta BJX,50G1H,10GTO Leon Norte,10GTO,2
Punta Del Este BJX,50G2J,10GTO Leon Norte,10GTO,2
Fray Servando BJX,50GFS,10GTO Leon Norte,10GTO,2
Villanueva BJX,50GI8,10GTO Leon Norte,10GTO,2
La Salle BJX,50GJB,10GTO Leon Norte,10GTO,2
San Jose BJX,50GLJ,10GTO Leon Norte,10GTO,2
Milenium BJX,50GLM,10GTO Leon Norte,10GTO,2
Navarrete BJX,50GNT,10GTO Leon Norte,10GTO,2
Carrillo BJX,50GOI,10GTO Leon Norte,10GTO,2
Olimpica BJX,50GOP,10GTO Leon Norte,10GTO,2
Saturno BJX,50GOT,10GTO Leon Norte,10GTO,2
Panorama BJX,50GPA,10GTO Leon Norte,10GTO,2
Hospitales BJX,50GUO,10GTO Leon Norte,10GTO,2
Roca BJX,50GXA,10GTO Leon Norte,10GTO,2
Juarez BJX,50GXJ,10GTO Leon Norte,10GTO,2
Alameda BJX,50GXM,10GTO Leon Norte,10GTO,2
Heroes de Alhondiga BJX,50I9P,10GTO Leon Norte,10GTO,2
Aeropuerto BJX,50IFE,10GTO Leon Norte,10GTO,2
Arbide BJX,50ILB,10GTO Leon Norte,10GTO,2
Fipasi BJX,50JVM,10GTO Leon Norte,10GTO,2
Congreso Chilpancingo BJX,50KM0,10GTO Leon Norte,10GTO,2
Timoteo Lozano BJX,50MHR,10GTO Leon Norte,10GTO,2
Herm. Aldama II BJX,50MLD,10GTO Leon Norte,10GTO,2
El Dorado BJX,50MQT,10GTO Leon Norte,10GTO,2
Tzilagua BJX,50MRD,10GTO Leon Norte,10GTO,2
Mariano Escobedo BJX,50MSK,10GTO Leon Norte,10GTO,2
Paseo del Jerez BJX,50NEB,10GTO Leon Norte,10GTO,2
Independencia BJX,50NPN,10GTO Leon Norte,10GTO,2
Gama BJX,50NVF,10GTO Leon Norte,10GTO,2
Pedregal BJX,50OOW,10GTO Leon Norte,10GTO,2
Real del Bosque BJX,50ORB,10GTO Leon Norte,10GTO,2
Mazatlan BJX,50P8X,10GTO Leon Norte,10GTO,2
Servicio Lateral BJX,50PJN,10GTO Leon Norte,10GTO,2
Santa Gertrudis BJX,50PQ7,10GTO Leon Norte,10GTO,2
Paseo del Moral BJX,50PSE,10GTO Leon Norte,10GTO,2
Mayorca  BJX,50Q95,10GTO Leon Norte,10GTO,2
Nuevo Mexico BJX,50QMF,10GTO Leon Norte,10GTO,2
Gardenias BJX,50QMW,10GTO Leon Norte,10GTO,2
Montolivo BJX,50R00,10GTO Leon Norte,10GTO,2
Marbella BJX,50R1H,10GTO Leon Norte,10GTO,2
Asis BJX,50R4F,10GTO Leon Norte,10GTO,2
Las Flores BJX,50RDC,10GTO Leon Norte,10GTO,2
Circunvalacion BJX,50RLC,10GTO Leon Norte,10GTO,2
Espino BJX,50RNG,10GTO Leon Norte,10GTO,2
La Noria BJX,50RO9,10GTO Leon Norte,10GTO,2
Monte Alegre BJX,50SGP,10GTO Leon Norte,10GTO,2
Paraisos BJX,50SOS,10GTO Leon Norte,10GTO,2
Villas de las Flores BJX,50T4D,10GTO Leon Norte,10GTO,2
Maseca BJX,50U10,10GTO Leon Norte,10GTO,2
Galerias BJX,50UNM,10GTO Leon Norte,10GTO,2
Patrocinio de Maria BJX,50UPJ,10GTO Leon Norte,10GTO,2
Plaza San Miguel BJX,50UQF,10GTO Leon Norte,10GTO,2
San Felipe BJX,50VXR,10GTO Leon Norte,10GTO,2
Sacromonte BJX,50W2J,10GTO Leon Norte,10GTO,2
Crucifixion BJX,50WCX,10GTO Leon Norte,10GTO,2
Mayorazgo BJX,50WD1,10GTO Leon Norte,10GTO,2
Bocanegra BJX,50WGN,10GTO Leon Norte,10GTO,2
PortonesdelCarmenBJX,50WLH,10GTO Leon Norte,10GTO,2
Loyola BJX,50WOX,10GTO Leon Norte,10GTO,2
Eufrasia Pantoja BJX,50XMB,10GTO Leon Norte,10GTO,2
Wagner BJX,50XQB,10GTO Leon Norte,10GTO,2
Transportistas BJX,50XWT,10GTO Leon Norte,10GTO,2
Parque Industrial BJX,50YFZ,10GTO Leon Norte,10GTO,2
Trinidad BJX,50YIC,10GTO Leon Norte,10GTO,2
Brisas Del Lago 2 BJX,50Z0R,10GTO Leon Norte,10GTO,2
Picacho BJX,50ZHP,10GTO Leon Norte,10GTO,2
Campanita F ZCL,5012P,10GTO Zacatecas,10GTO,2
San Antonio II ZCL,501BH,10GTO Zacatecas,10GTO,2
Zesati II BJX,501DE,10GTO Zacatecas,10GTO,2
Aeropuerto ZCL,501O2,10GTO Zacatecas,10GTO,2
OXXO VILLAS UNIVERSIDAD,501RB,10GTO Zacatecas,10GTO,2
San Jose de Lourdes ZCL,502XS,10GTO Zacatecas,10GTO,2
Costa Rica II BJX,50304,10GTO Zacatecas,10GTO,2
Galeana I BJX,503VM,10GTO Zacatecas,10GTO,2
Clásico Jerez BJX,5048I,10GTO Zacatecas,10GTO,2
Gomez Farias ZCL,504GQ,10GTO Zacatecas,10GTO,2
Av. Guaymas BJX,504JK,10GTO Zacatecas,10GTO,2
La Villita II ZCL,504S7,10GTO Zacatecas,10GTO,2
Gallegos ZCL,504VA,10GTO Zacatecas,10GTO,2
Alamos Blancos BJX,504ZB,10GTO Zacatecas,10GTO,2
Canek ZCL,505O2,10GTO Zacatecas,10GTO,2
Emiliano Zapata ZCL,5068J,10GTO Zacatecas,10GTO,2
Hacienda Nueva ZCL,506OW,10GTO Zacatecas,10GTO,2
Estrella ZCL,506WD,10GTO Zacatecas,10GTO,2
Los Olivos ZCL,507IN,10GTO Zacatecas,10GTO,2
De la Paz ZCL,508F6,10GTO Zacatecas,10GTO,2
Campanita C ZCL,508FY,10GTO Zacatecas,10GTO,2
Entrada Ahresthy BJX,508JX,10GTO Zacatecas,10GTO,2
Gas Madera ZCL,508W1,10GTO Zacatecas,10GTO,2
Marti BJX,509HL,10GTO Zacatecas,10GTO,2
Porfirio Díaz BJX,509LA,10GTO Zacatecas,10GTO,2
Pedro Coronel ZCL,509MI,10GTO Zacatecas,10GTO,2
Arboledas ZCL,50ADA,10GTO Zacatecas,10GTO,2
Aguanaval ZCL,50ANV,10GTO Zacatecas,10GTO,2
Patria ZAC,50BFS,10GTO Zacatecas,10GTO,2
Balcones ZCL,50BVJ,10GTO Zacatecas,10GTO,2
Bonaterra ZCL,50BXV,10GTO Zacatecas,10GTO,2
Rincon Colonial ZCL,50D89,10GTO Zacatecas,10GTO,2
Orquideas ZAC,50DER,10GTO Zacatecas,10GTO,2
5 de Mayo ZCL,50DMY,10GTO Zacatecas,10GTO,2
Hidraulica ZCL,50DRA,10GTO Zacatecas,10GTO,2
UPN ZCL,50EM8,10GTO Zacatecas,10GTO,2
Fresnos ZCL,50FRE,10GTO Zacatecas,10GTO,2
Fray Servando ZCL,50FYZ,10GTO Zacatecas,10GTO,2
Rebote BJX,50GA2,10GTO Zacatecas,10GTO,2
Johnson ZCL,50GG4,10GTO Zacatecas,10GTO,2
Girasoles ZCL,50GYR,10GTO Zacatecas,10GTO,2
Sain Alto Gas ZCL,50HF1,10GTO Zacatecas,10GTO,2
Hostal ZCL,50HOS,10GTO Zacatecas,10GTO,2
Cedro ZCL,50HQM,10GTO Zacatecas,10GTO,2
Huicot ZCL,50HUI,10GTO Zacatecas,10GTO,2
Rancho Grande ZCL,50I2K,10GTO Zacatecas,10GTO,2
San Jose ZCL,50IIK,10GTO Zacatecas,10GTO,2
Villalpando ZCL,50IIP,10GTO Zacatecas,10GTO,2
Villa de Cos ZCL,50IVL,10GTO Zacatecas,10GTO,2
Ramal ZCL,50J4Z,10GTO Zacatecas,10GTO,2
Villanueva II ZCL,50JSY,10GTO Zacatecas,10GTO,2
Avenida Colotlan ZCL,50K3A,10GTO Zacatecas,10GTO,2
Lago de Chapala ZCL,50LGK,10GTO Zacatecas,10GTO,2
Cinco Señores ZCL,50LV5,10GTO Zacatecas,10GTO,2
Pinedo ZCL,50M23,10GTO Zacatecas,10GTO,2
Mexicapan ZCL,50MEU,10GTO Zacatecas,10GTO,2
San Marcos II ZCL,50MHZ,10GTO Zacatecas,10GTO,2
Lufer ZCL,50MOO,10GTO Zacatecas,10GTO,2
Penoles ZCL,50MTW,10GTO Zacatecas,10GTO,2
La Villita Calera BJX,50MV8,10GTO Zacatecas,10GTO,2
Morelos ZCL,50MZS,10GTO Zacatecas,10GTO,2
Del Valle ZCL,50NNF,10GTO Zacatecas,10GTO,2
Hombres Ilustres ZAC,50NWI,10GTO Zacatecas,10GTO,2
Britania ZCL,50OZB,10GTO Zacatecas,10GTO,2
Cervantes ZCL,50PE9,10GTO Zacatecas,10GTO,2
Las Palmas ZCL,50PQS,10GTO Zacatecas,10GTO,2
Plateros ZCL,50PWT,10GTO Zacatecas,10GTO,2
Angeles ZCL,50Q5Y,10GTO Zacatecas,10GTO,2
Geranios  ZCL,50R4R,10GTO Zacatecas,10GTO,2
Unirse ZCL,50SLC,10GTO Zacatecas,10GTO,2
De Los Libres BJX,50T0U,10GTO Zacatecas,10GTO,2
Saucito ZCL,50UDE,10GTO Zacatecas,10GTO,2
Juan de Tolosa ZCL,50US8,10GTO Zacatecas,10GTO,2
Francisco Villa ZCL,50V5S,10GTO Zacatecas,10GTO,2
Jardin Calera ZCL,50V9Z,10GTO Zacatecas,10GTO,2
Valenciana ZCL,50VVQ,10GTO Zacatecas,10GTO,2
20 de Noviembre ZCL,50W23,10GTO Zacatecas,10GTO,2
Brasil ZCL,50WAJ,10GTO Zacatecas,10GTO,2
Estacion San Jose ZCL,50WI3,10GTO Zacatecas,10GTO,2
San Isidro ZCL,50WIN,10GTO Zacatecas,10GTO,2
Camelias ZCL,50WL0,10GTO Zacatecas,10GTO,2
Sonora ZCL,50WUO,10GTO Zacatecas,10GTO,2
La Soledad ZCL,50WZD,10GTO Zacatecas,10GTO,2
Fresnicentro ZCL,50WZI,10GTO Zacatecas,10GTO,2
Lomas de Galicia ZCL,50WZJ,10GTO Zacatecas,10GTO,2
Rio Florido ZCL,50XGE,10GTO Zacatecas,10GTO,2
Villas del Carmen ZCL,50XMH,10GTO Zacatecas,10GTO,2
Gas Nardos ZCL,50XW9,10GTO Zacatecas,10GTO,2
Higueras BJX,50Y4T,10GTO Zacatecas,10GTO,2
Hermes BJX,50Y7X,10GTO Zacatecas,10GTO,2
Providencia ZCL,50YY3,10GTO Zacatecas,10GTO,2
Alameda ZCL,50ZJK,10GTO Zacatecas,10GTO,2
Tangancicuaro Tejeda GDL,5000H,10GUD Altos,10GUD,2
Sahuayo Industrial GDL,500JC,10GUD Altos,10GUD,2
Tanhuato GDL,50177,10GUD Altos,10GUD,2
Zamora Las Americas GDL,5023A,10GUD Altos,10GUD,2
Zamora Paraiso  GDL,502SU,10GUD Altos,10GUD,2
Caseta Vista Hermosa GDL,503LR,10GUD Altos,10GUD,2
Zamora al Vergel GDL,503WF,10GUD Altos,10GUD,2
Santa Barbara GDL,503XD,10GUD Altos,10GUD,2
Zapotlanejo Santuario GDL,503YX,10GUD Altos,10GUD,2
Libramiento Sahuayo GDL,504AY,10GUD Altos,10GUD,2
Ocotlan Delgadillo GDL,504DS,10GUD Altos,10GUD,2
Acatic Ingreso GDL,504EW,10GUD Altos,10GUD,2
Zamora Juarez GDL,5053K,10GUD Altos,10GUD,2
Reyes Crucero GDL,5054K,10GUD Altos,10GUD,2
Rey Zapotlan GDL,50570,10GUD Altos,10GUD,2
Venustiano Moctezuma GDL,505H0,10GUD Altos,10GUD,2
Geiser de Ixtlan GDL,505LG,10GUD Altos,10GUD,2
Cojumatlan Centro GDL,505T1,10GUD Altos,10GUD,2
La Barca Zalamea GDL,505U6,10GUD Altos,10GUD,2
Campo Azul GDL,505XS,10GUD Altos,10GUD,2
Zamora Pirul GDL,505YW,10GUD Altos,10GUD,2
Ingreso Tanhuato GDL,505ZY,10GUD Altos,10GUD,2
Degollado Gas GDL,50620,10GUD Altos,10GUD,2
Sahuayo Morelos GDL,5062B,10GUD Altos,10GUD,2
Purepero Gas GDL,506GT,10GUD Altos,10GUD,2
Zamora Michoacan GDL,506Q2,10GUD Altos,10GUD,2
Tepabril GDL,507FM,10GUD Altos,10GUD,2
Zamora Escutia,507JN,10GUD Altos,10GUD,2
Sahuayo Sagrado GDL,507WO,10GUD Altos,10GUD,2
Zamora Almanza GDL,508FZ,10GUD Altos,10GUD,2
Chilchota GDL,508GK,10GUD Altos,10GUD,2
Orandino GDL,508WR,10GUD Altos,10GUD,2
G Tepa Arandas GDL,508Y0,10GUD Altos,10GUD,2
Tangamandapio GDL,5092E,10GUD Altos,10GUD,2
Sahuayo San Onofre GDL,50971,10GUD Altos,10GUD,2
Pajacuaran GDL,509I5,10GUD Altos,10GUD,2
Pajacuaran Centro GDL,509TI,10GUD Altos,10GUD,2
Vista Hermosa Centro GDL,50AH4,10GUD Altos,10GUD,2
Capilla de Gpe. GDL,50AVL,10GUD Altos,10GUD,2
Ocotlan San Andres GDL,50B0R,10GUD Altos,10GUD,2
Tepa Gonzalez Gallo GDL,50B1S,10GUD Altos,10GUD,2
Montecristo GDL,50BE4,10GUD Altos,10GUD,2
Tototlan GDL,50BQN,10GUD Altos,10GUD,2
Barca Crucero GDL,50BWC,10GUD Altos,10GUD,2
Sahuayo Mercado GDL,50C6R,10GUD Altos,10GUD,2
Jiquilpan Centro GDL,50CKM,10GUD Altos,10GUD,2
Zamora IMSS GDL,50D1B,10GUD Altos,10GUD,2
Ocotlan Zarco GDL,50DWI,10GUD Altos,10GUD,2
Jiquilpan GDL,50DWV,10GUD Altos,10GUD,2
Sahuayo Allende GDL,50DX5,10GUD Altos,10GUD,2
Sahuayo Brisas GDL,50E5P,10GUD Altos,10GUD,2
Tepa Hospital GDL,50F2H,10GUD Altos,10GUD,2
Huaninba GDL,50F85,10GUD Altos,10GUD,2
El Reparo GDL,50FT7,10GUD Altos,10GUD,2
Parador GDL,50GPP,10GUD Altos,10GUD,2
Barca Colon GDL,50H08,10GUD Altos,10GUD,2
Zamora Republica GDL,50H2G,10GUD Altos,10GUD,2
Zamora Rinconada GDL,50H3S,10GUD Altos,10GUD,2
Tepa 18 de Marzo GDL,50HA1,10GUD Altos,10GUD,2
Parador III GDL,50HFN,10GUD Altos,10GUD,2
Filomeno Gomez GDL,50HL6,10GUD Altos,10GUD,2
Tangancicuaro Carretera GDL,50HL9,10GUD Altos,10GUD,2
Zam. Madero GDL,50HMD,10GUD Altos,10GUD,2
Milpillas GDL,50I4V,10GUD Altos,10GUD,2
Zamora Puerta Sur GDL,50I8N,10GUD Altos,10GUD,2
Zamora Ferrocarril GDL,50J9H,10GUD Altos,10GUD,2
La Laja GDL,50JLW,10GUD Altos,10GUD,2
Aranadas Libramiento GDL,50JXU,10GUD Altos,10GUD,2
Ocotlan Carrillo GDL,50KH3,10GUD Altos,10GUD,2
Ecuandureo GDL,50KZI,10GUD Altos,10GUD,2
Zam. Navarrete GDL,50KZJ,10GUD Altos,10GUD,2
Zam. 20 de Nov. GDL,50KZK,10GUD Altos,10GUD,2
Zam. Estacion GDL,50KZV,10GUD Altos,10GUD,2
Purepero Centro GDL,50LN6,10GUD Altos,10GUD,2
Damaso Cardenas GDL,50MB1,10GUD Altos,10GUD,2
Ocotlan Hidalgo GDL,50MV7,10GUD Altos,10GUD,2
Tepa Centro  GDL,50N97,10GUD Altos,10GUD,2
Sahuayo Hospital GDL,50NJR,10GUD Altos,10GUD,2
Gas JG Jacona GDL,50O8I,10GUD Altos,10GUD,2
Degollado Espiga GDL,50OM2,10GUD Altos,10GUD,2
Santos Degollado GDL,50OT2,10GUD Altos,10GUD,2
Jacona Serdan GDL,50P6Q,10GUD Altos,10GUD,2
Vista Hermosa GDL,50PJO,10GUD Altos,10GUD,2
Zamora Santuario GDL,50Q64,10GUD Altos,10GUD,2
Jacona Calzada GDL,50QOX,10GUD Altos,10GUD,2
San Miguel GDL,50SJK,10GUD Altos,10GUD,2
Sahuayo GDL,50SQY,10GUD Altos,10GUD,2
Tepa Anacleto GDL,50SUU,10GUD Altos,10GUD,2
Carnicerito GDL,50TFJ,10GUD Altos,10GUD,2
Tepa Crucero GDL,50TWE,10GUD Altos,10GUD,2
Portezuelo GDL,50TXV,10GUD Altos,10GUD,2
Mayas GDL,50TYJ,10GUD Altos,10GUD,2
Sahuayo Ruiz Cortines GDL,50U95,10GUD Altos,10GUD,2
Zamora Virrey GDL,50UYA,10GUD Altos,10GUD,2
Atotonilco GDL,50UZE,10GUD Altos,10GUD,2
Tangancicuaro GAS GDL,50WK7,10GUD Altos,10GUD,2
Zamora Centro GDL,50WO2,10GUD Altos,10GUD,2
Jiquilpan El Llano GDL,50X05,10GUD Altos,10GUD,2
Gas La Barca GDL,50X0N,10GUD Altos,10GUD,2
Zamora San Joaquin GDL,50X15,10GUD Altos,10GUD,2
Cumuatillo Cahro GDL,50X54,10GUD Altos,10GUD,2
Zamora Melchor GDL,50XB3,10GUD Altos,10GUD,2
Tepa Justo Sierra GDL,50XCR,10GUD Altos,10GUD,2
Zapo Centro GDL,50XDT,10GUD Altos,10GUD,2
Sahuayo Hipico GDL,50XEG,10GUD Altos,10GUD,2
La Laja II GDL,50XII,10GUD Altos,10GUD,2
Jacona Plancarte GDL,50XY0,10GUD Altos,10GUD,2
Jiquilpan Tecnologico GDL,50Y9G,10GUD Altos,10GUD,2
Tepa Libre GDL,50YEE,10GUD Altos,10GUD,2
Zamora Central GDL,50YGG,10GUD Altos,10GUD,2
Sahuayo Centro GDL,50YQZ,10GUD Altos,10GUD,2
Ocotlán 2000 GDL,50Z4R,10GUD Altos,10GUD,2
Zamora Alicante GDL,50Z7U,10GUD Altos,10GUD,2
Zamora Monte Olivo,50Z9Z,10GUD Altos,10GUD,2
Atoto Centro GDL,50ZLF,10GUD Altos,10GUD,2
Zamora Hospital GDL,50ZOG,10GUD Altos,10GUD,2
Tonala Pinar GDL,5005X,10GUD GDL Oriente,10GUD,2
Mojonera GDL,500NY,10GUD GDL Oriente,10GUD,2
Acueducto GDL,501V9,10GUD GDL Oriente,10GUD,2
Coral Cosala GDL,502D2,10GUD GDL Oriente,10GUD,2
San Nicolas De Ibarra GDL,502U4,10GUD GDL Oriente,10GUD,2
Central Nueva GDL,504W8,10GUD GDL Oriente,10GUD,2
Parque Albereda GDL,505PC,10GUD GDL Oriente,10GUD,2
Montecarlo GDL,506GP,10GUD GDL Oriente,10GUD,2
Riveras del Pilar GDL,509ID,10GUD GDL Oriente,10GUD,2
Margarita GDL,50A85,10GUD GDL Oriente,10GUD,2
Aeropuerto II GDL,50APT,10GUD GDL Oriente,10GUD,2
Pinguica GDL,50AU0,10GUD GDL Oriente,10GUD,2
El Quince GDL,50AVW,10GUD GDL Oriente,10GUD,2
Chulavista GDL,50CVI,10GUD GDL Oriente,10GUD,2
Manglar GDL,50D3V,10GUD GDL Oriente,10GUD,2
Tonala Patria GDL,50F6F,10GUD GDL Oriente,10GUD,2
Compositores GDL,50FHB,10GUD GDL Oriente,10GUD,2
Fernando EspinozaGDL,50FPZ,10GUD GDL Oriente,10GUD,2
Hacienda Real II GDL,50FRR,10GUD GDL Oriente,10GUD,2
Tonala Gandhi GDL,50GJ0,10GUD GDL Oriente,10GUD,2
Zapote GDL,50GTZ,10GUD GDL Oriente,10GUD,2
Hacienda Real GDL,50HLR,10GUD GDL Oriente,10GUD,2
Parian GDL,50IAN,10GUD GDL Oriente,10GUD,2
Santa Rosa GDL,50INK,10GUD GDL Oriente,10GUD,2
Madereria GDL,50K7U,10GUD GDL Oriente,10GUD,2
Loma Dorada GDL,50LDA,10GUD GDL Oriente,10GUD,2
Miguel Hidalgo GDL,50MDH,10GUD GDL Oriente,10GUD,2
Mezcala GDL,50MWD,10GUD GDL Oriente,10GUD,2
San Pedrito GDL,50NBT,10GUD GDL Oriente,10GUD,2
Superior GDL,50Q04,10GUD GDL Oriente,10GUD,2
Plaza del Palmar GDL,50RAN,10GUD GDL Oriente,10GUD,2
Fauna GDL,50S25,10GUD GDL Oriente,10GUD,2
Tapatio GDL,50TAP,10GUD GDL Oriente,10GUD,2
Paloma GDL,50TFB,10GUD GDL Oriente,10GUD,2
Terminal Aerea GDL,50TFY,10GUD GDL Oriente,10GUD,2
Tonaltecas GDL,50TKI,10GUD GDL Oriente,10GUD,2
Tres Potrillos GDL,50VTL,10GUD GDL Oriente,10GUD,2
